id;documento
1;acorda-me às nove da manhã na sexta-feira
2;accionar um alarme durante duas horas a partir de agora
3;olly não fales
4;pára
5;olly pára durante dez segundos
6;pausa por dez segundos
7;tornar a iluminação um pouco mais calorosa aqui
8;definir a iluminação adequada para leitura
9;hora de cormir
10;tempo de dormir olly
11;desligar a luz da casa de banho
12;alexa diminui as luzes no salão
13;apagar as luzes no quarto
14;mudar as luzes para vinte porcento
15;olly coloca as luzes para vinte por cento
16;alexa diminuir as luzes da cozinha
17;diminui as luzes na cozinha
18;alexa limpar o apartamento
19;aspirar a casa
20;aspirar a casa olly
21;aspirar as alcatifas
22;verifique quando o show inicia
23;quero ouvir eu tenho dois amores do marco paulo novamente
24;podes pôr essa música novamente
25;verifica se o meu carro está pronto
26;verifica se o meu portátil está a trabalhar
27;a luminosidade do meu ecrã está baixa
28;preciso de ter os serviços localização ligados podes verificar
29;cheque o desempenho da minha bateria
30;não estou cansado na realidade estou feliz
31;siri não estou cansado na realidade estou feliz
32;o que se passa
33;diz-me as horas em lisboa
34;diz me as horas em g. m. t. mais cinco
35;olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações
36;entrega ao domicílio de comida chinesa com mais avaliações
37;olly melhores avaliações de entrega para comida chinesa
38;apetece-me caril tens alguma recomendação
39;quero algum caril para levar alguma recomendação olly
40;procura por comida tailandesa com takeaway perto do centro do porto
41;para o alarme das sete da manhã
42;por favor lista os alarmes ativos
43;o que está a acontecer no futebol hoje
44;por favor põe contentores dos xutos e pontapés
45;gosto de música rock
46;minha banda de música favorita é queen
47;começa a tocar música dos meus favoritos
48;por favor toca a minha melhor música
49;qual é o autor desta música
50;de que álbum é a música atual
