Documento	Id
acorda-me às nove da manhã na sexta-feira	1
accionar um alarme durante duas horas a partir de agora	2
olly não fales	3
pára	4
olly pára durante dez segundos	5
pausa por dez segundos	6
tornar a iluminação um pouco mais calorosa aqui	7
definir a iluminação adequada para leitura	8
hora de cormir	9
tempo de dormir olly	10
desligar a luz da casa de banho	11
alexa diminui as luzes no salão	12
apagar as luzes no quarto	13
mudar as luzes para vinte porcento	14
olly coloca as luzes para vinte por cento	15
alexa diminuir as luzes da cozinha	16
diminui as luzes na cozinha	17
alexa limpar o apartamento	18
aspirar a casa	19
aspirar a casa olly	20
aspirar as alcatifas	21
verifique quando o show inicia	22
quero ouvir eu tenho dois amores do marco paulo novamente	23
podes pôr essa música novamente	24
verifica se o meu carro está pronto	25
verifica se o meu portátil está a trabalhar	26
a luminosidade do meu ecrã está baixa	27
preciso de ter os serviços localização ligados podes verificar	28
cheque o desempenho da minha bateria	29
não estou cansado na realidade estou feliz	30
siri não estou cansado na realidade estou feliz	31
o que se passa	32
diz-me as horas em lisboa	33
diz me as horas em g. m. t. mais cinco	34
olly mostra uma lista das opções de entrega de comida chinesa com mais avaliações	35
entrega ao domicílio de comida chinesa com mais avaliações	36
olly melhores avaliações de entrega para comida chinesa	37
apetece-me caril tens alguma recomendação	38
quero algum caril para levar alguma recomendação olly	39
procura por comida tailandesa com takeaway perto do centro do porto	40
para o alarme das sete da manhã	41
por favor lista os alarmes ativos	42
o que está a acontecer no futebol hoje	43
por favor põe contentores dos xutos e pontapés	44
gosto de música rock	45
minha banda de música favorita é queen	46
começa a tocar música dos meus favoritos	47
por favor toca a minha melhor música	48
qual é o autor desta música	49
de que álbum é a música atual	50
