Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
acorda-me	VERB	1	1	0	0	acorda-me às nove da manhã na sexta-feira
às	ADP	0	1	1	0	acorda-me às nove da manhã na sexta-feira
nove	NUM	0	1	2	0	acorda-me às nove da manhã na sexta-feira
da	ADP	0	1	3	0	acorda-me às nove da manhã na sexta-feira
manhã	NOUN	0	1	4	0	acorda-me às nove da manhã na sexta-feira
na	ADP	0	1	5	0	acorda-me às nove da manhã na sexta-feira
sexta-feira	NOUN	1	1	6	0	acorda-me às nove da manhã na sexta-feira
0	['VERB', 'ADP', 'NUM', 'ADP', 'NOUN', 'ADP', 'NOUN']	[1, 0, 0, 0, 0, 0, 1]	1	0	1	acorda-me às nove da manhã na sexta-feira
accionar	VERB	1	2	0	0	accionar um alarme durante duas horas a partir de agora
um	DET	0	2	1	0	accionar um alarme durante duas horas a partir de agora
alarme	NOUN	1	2	2	0	accionar um alarme durante duas horas a partir de agora
durante	ADP	0	2	3	0	accionar um alarme durante duas horas a partir de agora
duas	NUM	0	2	4	0	accionar um alarme durante duas horas a partir de agora
horas	NOUN	0	2	5	0	accionar um alarme durante duas horas a partir de agora
a	ADP	0	2	6	0	accionar um alarme durante duas horas a partir de agora
partir	NOUN	0	2	7	0	accionar um alarme durante duas horas a partir de agora
de	ADP	0	2	8	0	accionar um alarme durante duas horas a partir de agora
agora	ADV	0	2	9	0	accionar um alarme durante duas horas a partir de agora
1	['VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADV']	[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]	2	1	1	accionar um alarme durante duas horas a partir de agora
olly	NOUN	1	3	0	0	olly não fales
não	ADV	0	3	1	0	olly não fales
fales	VERB	1	3	2	0	olly não fales
2	['NOUN', 'ADV', 'VERB']	[1, 0, 1]	3	2	1	olly não fales
pára	VERB	1	4	0	0	pára
3	['VERB']	[1]	4	3	1	pára
olly	NOUN	1	5	0	0	olly pára durante dez segundos
pára	VERB	1	5	1	0	olly pára durante dez segundos
durante	ADP	0	5	2	0	olly pára durante dez segundos
dez	NUM	0	5	3	0	olly pára durante dez segundos
segundos	NOUN	0	5	4	0	olly pára durante dez segundos
4	['NOUN', 'VERB', 'ADP', 'NUM', 'NOUN']	[1, 1, 0, 0, 0]	5	4	1	olly pára durante dez segundos
pausa	NOUN	0	6	0	0	pausa por dez segundos
por	ADP	0	6	1	0	pausa por dez segundos
dez	NUM	0	6	2	0	pausa por dez segundos
segundos	NOUN	0	6	3	0	pausa por dez segundos
5	['NOUN', 'ADP', 'NUM', 'NOUN']	[0, 0, 0, 0]	6	5	1	pausa por dez segundos
tornar	VERB	0	7	0	0	tornar a iluminação um pouco mais calorosa aqui
