Sentença	Id	Index	Granularidade	Documento
acorda-me às nove da manhã na sexta-feira	1	0	0	acorda-me às nove da manhã na sexta-feira
0	1	-1	1	acorda-me às nove da manhã na sexta-feira
accionar um alarme durante duas horas a partir de agora	2	0	0	accionar um alarme durante duas horas a partir de agora
1	2	-1	1	accionar um alarme durante duas horas a partir de agora
olly não fales	3	0	0	olly não fales
2	3	-1	1	olly não fales
pára	4	0	0	pára
3	4	-1	1	pára
olly pára durante dez segundos	5	0	0	olly pára durante dez segundos
4	5	-1	1	olly pára durante dez segundos
pausa por dez segundos	6	0	0	pausa por dez segundos
5	6	-1	1	pausa por dez segundos
tornar a iluminação um pouco mais calorosa aqui	7	0	0	tornar a iluminação um pouco mais calorosa aqui
6	7	-1	1	tornar a iluminação um pouco mais calorosa aqui
definir a iluminação adequada para leitura	8	0	0	definir a iluminação adequada para leitura
7	8	-1	1	definir a iluminação adequada para leitura
hora de cormir	9	0	0	hora de cormir
8	9	-1	1	hora de cormir
tempo de dormir olly	10	0	0	tempo de dormir olly
9	10	-1	1	tempo de dormir olly
desligar a luz da casa de banho	11	0	0	desligar a luz da casa de banho
10	11	-1	1	desligar a luz da casa de banho
alexa diminui as luzes no salão	12	0	0	alexa diminui as luzes no salão
11	12	-1	1	alexa diminui as luzes no salão
apagar as luzes no quarto	13	0	0	apagar as luzes no quarto
12	13	-1	1	apagar as luzes no quarto
mudar as luzes para vinte porcento	14	0	0	mudar as luzes para vinte porcento
13	14	-1	1	mudar as luzes para vinte porcento
olly coloca as luzes para vinte por cento	15	0	0	olly coloca as luzes para vinte por cento
14	15	-1	1	olly coloca as luzes para vinte por cento
alexa diminuir as luzes da cozinha	16	0	0	alexa diminuir as luzes da cozinha
15	16	-1	1	alexa diminuir as luzes da cozinha
diminui as luzes na cozinha	17	0	0	diminui as luzes na cozinha
16	17	-1	1	diminui as luzes na cozinha
alexa limpar o apartamento	18	0	0	alexa limpar o apartamento
17	18	-1	1	alexa limpar o apartamento
aspirar a casa	19	0	0	aspirar a casa
18	19	-1	1	aspirar a casa
aspirar a casa olly	20	0	0	aspirar a casa olly
19	20	-1	1	aspirar a casa olly
aspirar as alcatifas	21	0	0	aspirar as alcatifas
20	21	-1	1	aspirar as alcatifas
verifique quando o show inicia	22	0	0	verifique quando o show inicia
21	22	-1	1	verifique quando o show inicia
quero ouvir eu tenho dois amores do marco	23	0	0	quero ouvir eu tenho dois amores do marco paulo novamente
paulo	23	1	0	quero ouvir eu tenho dois amores do marco paulo novamente
novamente	23	2	0	quero ouvir eu tenho dois amores do marco paulo novamente
22	23	-1	1	quero ouvir eu tenho dois amores do marco paulo novamente
podes pôr essa música novamente	24	0	0	podes pôr essa música novamente
23	24	-1	1	podes pôr essa música novamente
verifica se o meu carro está pronto	25	0	0	verifica se o meu carro está pronto
24	25	-1	1	verifica se o meu carro está pronto
